token,status,proposed,note
thanatogenesis,REVIEW,,Context reviewed; source verification required before normalization.
thctptace,REVIEW,,Context reviewed; source verification required before normalization.
theml,REVIEW,,Context reviewed; source verification required before normalization.
thermo,REVIEW,,Context reviewed; source verification required before normalization.
thermoragulation,LIKELY_TYPO,thermoregulation,Probable spelling error
thi-rst,REVIEW,thirst,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
thiminase,REVIEW,,Context reviewed; source verification required before normalization.
thinlimbs,REVIEW,,Context reviewed; source verification required before normalization.
thirdpregnancy,REVIEW,,Context reviewed; source verification required before normalization.
thoracodiaphragmatic,REVIEW,,Context reviewed; source verification required before normalization.
throchanterica,REVIEW,,Context reviewed; source verification required before normalization.
thromboembolas,REVIEW,,Context reviewed; source verification required before normalization.
thromboemboly,REVIEW,,Context reviewed; source verification required before normalization.
thrombs,REVIEW,,Context reviewed; source verification required before normalization.
throracodiaphragmatic,REVIEW,,Context reviewed; source verification required before normalization
throracodorsal,REVIEW,,Context reviewed; source verification required before normalization.
thymalin,REVIEW,,Context reviewed; source verification required before normalization.
thymomegaly,REVIEW,,Context reviewed; source verification required before normalization.
thyreoglobulin,REVIEW,,Context reviewed; source verification required before normalization.
thyreotoxicosis,REVIEW,,Context reviewed; source verification required before normalization
thyroliberin,VALID,,Valid medical term
thyrosine,REVIEW,,Context reviewed; source verification required before normalization.
ti-ssue,LIKELY_TYPO,tissue,Probable PDF/OCR hyphenation artifact
tochondria,REVIEW,,Context reviewed; source verification required before normalization.
tocolytics,REVIEW,,Context reviewed; source verification required before normalization.
tonsi-ls,REVIEW,tonsils,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
tonsilli-tis,REVIEW,,Unrecognized lexical token; verify against source
totransfer,REVIEW,,Context reviewed; source verification required before normalization.
toxicoinfection,REVIEW,,Context reviewed; source verification required before normalization.
toxicologi-cal,REVIEW,toxicological,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
toxigenity,REVIEW,,Context reviewed; source verification required before normalization.
toxoplasms,REVIEW,,Context reviewed; source verification required before normalization.
trabecules,REVIEW,,Context reviewed; source verification required before normalization
tranfer,REVIEW,,Context reviewed; source verification required before normalization.
transaminatin,REVIEW,,Context reviewed; source verification required before normalization.
transcorrin,REVIEW,,Context reviewed; source verification required before normalization.
transmiltion,REVIEW,,Context reviewed; source verification required before normalization.
traumatologi-cal,REVIEW,traumatological,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
triacylglycerides,REVIEW,,Context reviewed; source verification required before normalization.
triacylglycerols,VALID,,Valid medical/scientific term in context
triatomine,REVIEW,,Context reviewed; source verification required before normalization.
triftazine,REVIEW,,Context reviewed; source verification required before normalization.
trimeperidine,REVIEW,,Context reviewed; source verification required before normalization.
tripsin,LIKELY_TYPO,trypsin,Probable spelling error
trombus,REVIEW,,Context reviewed; source verification required before normalization.
tructs,REVIEW,,Context reviewed; source verification required before normalization.
ttrlrv,REVIEW,,Context reviewed; source verification required before normalization.
tuberculine,REVIEW,,Context reviewed; source verification required before normalization.
tuberkculosis,REVIEW,,Context reviewed; source verification required before normalization.
tuberulosis,REVIEW,,Context reviewed; source verification required before normalization.
tubocurarin,REVIEW,,Context reviewed; source verification required before normalization.
tularin,REVIEW,,Context reviewed; source verification required before normalization.
tularinum,REVIEW,,Context reviewed; source verification required before normalization.
tumourous,REVIEW,,Context reviewed; source verification required before normalization.
tuncus,REVIEW,,Context reviewed; source verification required before normalization.
turnersyndrome,REVIEW,,Context reviewed; source verification required before normalization.
twilightvision,REVIEW,,Context reviewed; source verification required before normalization.
typhusinduced,REVIEW,,Context reviewed; source verification required before normalization.
ubiqui-none,REVIEW,ubiquinone,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
uconscious,LIKELY_TYPO,unconscious,Probable spelling error
udp-glucuronil,REVIEW,udpglucuronil,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
udpglucoronyltransferase,REVIEW,,Context reviewed; source verification required before normalization.
ukraine,REVIEW,,Context reviewed; source verification required before normalization.
ukrainian,REVIEW,,Context reviewed; source verification required before normalization.
ulceropolyposa,REVIEW,,Context reviewed; source verification required before normalization.
ulsation,REVIEW,,Context reviewed; source verification required before normalization.
umng,REVIEW,,Context reviewed; source verification required before normalization.
undecremental,REVIEW,,Context reviewed; source verification required before normalization.
undena,REVIEW,,Context reviewed; source verification required before normalization.
ungergoes,REVIEW,,Context reviewed; source verification required before normalization.
ural,REVIEW,,Context reviewed; source verification required before normalization.
urarchus,REVIEW,,Context reviewed; source verification required before normalization.
urinoculturc,REVIEW,,Context reviewed; source verification required before normalization.
urolesan,REVIEW,,Context reviewed; source verification required before normalization.
urosulfanum,REVIEW,,Context reviewed; source verification required before normalization.
uv-irradiated,REVIEW,uvirradiated,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vaccin,REVIEW,,Context reviewed; source verification required before normalization.
vagoinsular,REVIEW,,Context reviewed; source verification required before normalization.
validol,REVIEW,,Context reviewed; source verification required before normalization.
vasodilatating,REVIEW,,Context reviewed; source verification required before normalization.
vasopresine,REVIEW,,Context reviewed; source verification required before normalization.
vatet,REVIEW,,Context reviewed; source verification required before normalization.
veilonella,REVIEW,,Context reviewed; source verification required before normalization.
veneral,REVIEW,,Context reviewed; source verification required before normalization.
venoconstriction,REVIEW,,Context reviewed; source verification required before normalization
venti-lation,REVIEW,,Unrecognized lexical token; verify against source
ventncles,REVIEW,,Context reviewed; source verification required before normalization.
ventricale,REVIEW,,Context reviewed; source verification required before normalization.
vero,REVIEW,,Context reviewed; source verification required before normalization.
verocai,REVIEW,,Context reviewed; source verification required before normalization.
verterbralis,REVIEW,,Context reviewed; source verification required before normalization.
vesels,REVIEW,,Context reviewed; source verification required before normalization.
vestibuloreceptors,REVIEW,,Context reviewed; source verification required before normalization.
vgilehra,REVIEW,,Context reviewed; source verification required before normalization.
vi-diagnosticum,REVIEW,vidiagnosticum,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vi-sited,REVIEW,visited,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vi-vii,REVIEW,vivii,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vicasol,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
vicasolum,REVIEW,,Context reviewed; source verification required before normalization.
viii-ix,REVIEW,viiiix,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vikasolum,REVIEW,,Context reviewed; source verification required before normalization.
vincent,REVIEW,,Context reviewed; source verification required before normalization.
vinpocetine,REVIEW,,Context reviewed; source verification required before normalization.
visceralhemocapillary,REVIEW,,Context reviewed; source verification required before normalization.
viscerodermal,REVIEW,,Unrecognized lexical token; verify against source
viscerovisceral,REVIEW,,Unrecognized lexical token; verify against source
visi-on,REVIEW,vision,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
vity,REVIEW,,Context reviewed; source verification required before normalization.
voli-tional,REVIEW,,Unrecognized lexical token; verify against source
volutine,REVIEW,,Context reviewed; source verification required before normalization.
vomiti-ng,REVIEW,,Unrecognized lexical token; verify against source
wagncr-unvcrricht,REVIEW,,Context reviewed; source verification required before normalization
waii,REVIEW,,Context reviewed; source verification required before normalization.
waiis,REVIEW,,Context reviewed; source verification required before normalization.
warfarine,REVIEW,,Context reviewed; source verification required before normalization.
wasaccelerated,REVIEW,,Unrecognized lexical token; verify against source
water-electrolite,LIKELY_TYPO,water-electrolyte,Probable spelling error
waterelectrolytic,REVIEW,,Unrecognized lexical token; verify against source
wemicke-korsakoff,REVIEW,wemickekorsakoff,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
whaf,REVIEW,,Context reviewed; source verification required before normalization.
wharton,REVIEW,,Context reviewed; source verification required before normalization.
whath,REVIEW,,Context reviewed; source verification required before normalization.
whatisthesourceofinvasioninthiscase,REVIEW,,Context reviewed; source verification required before normalization.
whatsequence,REVIEW,,Context reviewed; source verification required before normalization.
whcrc,REVIEW,,Context reviewed; source verification required before normalization.
wheeupon,REVIEW,,Context reviewed; source verification required before normalization
whi-ch,REVIEW,,Unrecognized lexical token; verify against source
whi-te,REVIEW,white,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
whiti-sh,REVIEW,whitish,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
whixh,REVIEW,,Context reviewed; source verification required before normalization.
wi-th,LIKELY_TYPO,with,Probable PDF hyphenation artifact
worki-ng,REVIEW,working,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
x-linked,REVIEW,,Context reviewed; source verification required before normalization
x-linkeddominant,REVIEW,,Context reviewed; source verification required before normalization.
x-linkedrecessive,REVIEW,,Context reviewed; source verification required before normalization.
x-ray,REVIEW,,Context reviewed; source verification required before normalization
x-rayexmination,REVIEW,,Context reviewed; source verification required before normalization.
xanthome,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
xantinol,REVIEW,,Context reviewed; source verification required before normalization.
y-linkcd,REVIEW,,Context reviewed; source verification required before normalization.
ycar,REVIEW,,Context reviewed; source verification required before normalization.
ycar-old,LIKELY_TYPO,year-old,Probable spelling/OCR error
yearold,REVIEW,,Context reviewed; source verification required before normalization.
yellowcolored,REVIEW,,Context reviewed; source verification required before normalization.
yer-old,REVIEW,yerold,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
yperchromic,REVIEW,,Context reviewed; source verification required before normalization.
zichl-nielsen,REVIEW,zichlnielsen,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ziehl-neclsen,REVIEW,ziehlneclsen,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ziel-neelsen,REVIEW,zielneelsen,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
zoneis,REVIEW,,Context reviewed; source verification required before normalization.
zygonema,REVIEW,,Context reviewed; source verification required before normalization.
zygornatic,REVIEW,,Context reviewed; source verification required before normalization.
ßabby,REVIEW,,OCR character corruption detected; verify source before correction
ßaccid,REVIEW,,Context reviewed; source verification required before normalization.
ßowering,REVIEW,,Context reviewed; source verification required before normalization.
ßuid,REVIEW,,OCR character corruption detected; verify source before correction
крок,REVIEW,,Cyrillic KROK token; preserve until source/context policy is decided
